task_id,task_name,category,description,relevance_to_team_alignment,expected_effect,ml_form,num_classes,output_dim,primary_data_source,label_field,temporal_type,horizon_sec,feasibility_notes
bomb_planted,Bomb Planted State,bomb,Is bomb currently planted,medium,neutral,binary_cls,2,1,bomb,event,nowcast,0,Game state from bomb plant/defuse/explode events
bomb_site_prediction,Bomb Site Prediction,bomb,Predict which site bomb will be planted (A vs B),medium,improve,binary_cls,2,1,bomb;rounds,bomb_site,forecast,0,Strategic prediction; only for T-side pre-plant
time_to_plant,Time To Plant,bomb,Estimate seconds until bomb plant,medium,neutral,regression,,1,bomb,tick,forecast,0,Only valid for T-side pre-plant segments
bomb_carrier_dist,Bomb Carrier Distance,bomb,Distance to bomb carrier,medium,neutral,regression,,1,bomb;trajectory,X;Y;Z,nowcast,0,Requires tracking bomb holder position
post_plant_outcome,Post Plant Outcome,bomb,After plant predict explode vs defuse,medium,neutral,binary_cls,2,1,bomb,event,forecast,0,Only valid for post-plant segments
round_winner,Round Winner Prediction,round,Predict which team wins the round,medium,neutral,binary_cls,2,1,rounds,winner,forecast,0,Win probability from current state
round_outcome_reason,Round Outcome Reason,round,Predict how round will end,medium,neutral,multi_cls,4,4,rounds,reason,forecast,0,t_killed;ct_killed;bomb_exploded;bomb_defused
pov_place_cls,POV Place Classification,spatial,Classify POV player current location,low,neutral,multi_cls,23,23,trajectory,place,nowcast,0,Self-localization baseline
pov_movement_dir,POV Movement Direction,spatial,Predict POV player movement direction,low,neutral,multi_cls,9,9,trajectory,X_norm;Y_norm,nowcast,0,8 directions + stationary
pov_speed,POV Speed Estimation,spatial,Estimate POV player movement speed,low,neutral,regression,,1,trajectory,X_norm;Y_norm;Z_norm,nowcast,0,Magnitude of velocity vector
area_control_mid,Mid Area Control,spatial,Which team controls mid area,medium,neutral,binary_cls,2,1,trajectory,X_norm;Y_norm,nowcast,0,Based on player positions in mid region
imminent_shot_self_2s,Self Shot 2s,action,Will POV player fire in next 2 seconds,low,neutral,binary_cls,2,1,shots,player_steamid,forecast,2,Individual action prediction
weapon_in_use,Weapon In Use,action,Classify weapon POV player is using,low,neutral,multi_cls,56,56,shots;damages,weapon,nowcast,0,Equipment state from recent shots/damages
team_executing,Team Executing,action,Is team executing a site take,high,improve,binary_cls,2,1,trajectory,X_norm;Y_norm,nowcast,0,Inferred from coordinated movement toward site
team_rotating,Team Rotating,action,Is team rotating between sites,high,improve,binary_cls,2,1,trajectory,X_norm;Y_norm,nowcast,0,Inferred from lateral movement pattern
